"ID_W9","SwitchedToRandom","Open_Comments","Open_Comments_W","comment","empty_like","comment_scale","scale_label"
300906684767476,"1","Blödsinn","nein","blödsinn",FALSE,3,"3 = other/unclear"
300906684767477,"","Am Ende der Videos haben die Videos etwas rumgespackt","","am ende der videos haben die videos etwas rumgespackt",FALSE,3,"3 = other/unclear"
300906684768508,"","Guter Mix aber Söder, Annalena Bärbock und Alice Weidel unerträglich!!!","","guter mix aber söder, annalena bärbock und alice weidel unerträglich!!!",FALSE,2,"2 = content-focused"
300906684770309,"","Interessiert mich nicht besonders","","interessiert mich nicht besonders",FALSE,3,"3 = other/unclear"
300906684771342,"1","es waren immer kurze unterbrecher","wäre nicht meine plattform","es waren immer kurze unterbrecher",FALSE,3,"3 = other/unclear"
300906684771350,"","Inhalte zu durcheinander","","inhalte zu durcheinander",FALSE,2,"2 = content-focused"
300906684771351,"","Seltsam","","seltsam",FALSE,3,"3 = other/unclear"
300906684771356,"","Qualität","","qualität",FALSE,2,"2 = content-focused"
300906684771358,"1","Die Videos waren in der Mehrheit beunruhigend.","Es gab für mich nichts interessantes","die videos waren in der mehrheit beunruhigend.",FALSE,2,"2 = content-focused"
300906684771360,"","Fand ich absolut nicht anregend","","fand ich absolut nicht anregend",FALSE,2,"2 = content-focused"
300906684771361,"","Nein, waren teilweise komische Videos","","nein, waren teilweise komische videos",FALSE,2,"2 = content-focused"
300906684771367,"1","Es fühlte sich wie TikTok an, manche Videos waren einfach langatmig. Viel politischer Content, wie im echten Leben.","","es fühlte sich wie tiktok an, manche videos waren einfach langatmig. viel politischer content, wie im echten leben.",FALSE,2,"2 = content-focused"
300906684771378,"","interessant , das zu verfolgen","","interessant , das zu verfolgen",FALSE,3,"3 = other/unclear"
300906684772443,"","Keine weiteren Mitteilungen","","keine weiteren mitteilungen",FALSE,3,"3 = other/unclear"
300906684772448,"1","Ni","Schöne Videos","ni",FALSE,3,"3 = other/unclear"
300906684772454,"","Nein, ich möchte nichts mitteilen.","","nein, ich möchte nichts mitteilen.",FALSE,3,"3 = other/unclear"
300906684772462,"","Es gab keinen dislike button","","es gab keinen dislike button",FALSE,1,"1 = platform-focused"
300906684772465,"","ist wie Tik Tok, oder you tube","","ist wie tik tok, oder you tube",FALSE,1,"1 = platform-focused"
300906684773502,"1","Zu viel politik","Tz viel politische videos","zu viel politik",FALSE,2,"2 = content-focused"
300906684773504,"","Sehr gut","","sehr gut",FALSE,2,"2 = content-focused"
300906684773511,"","Viel überflüssiges","","viel überflüssiges",FALSE,2,"2 = content-focused"
300906684773526,"","alles uninteressant","","alles uninteressant",FALSE,2,"2 = content-focused"
300906684773528,"","Viel schmarn","","viel schmarn",FALSE,2,"2 = content-focused"
300906684773545,"","Gefällt mir nicht von den meisten Inhalten her","","gefällt mir nicht von den meisten inhalten her",FALSE,2,"2 = content-focused"
300906684774574,"","Ziemlich uninteressant","","ziemlich uninteressant",FALSE,2,"2 = content-focused"
300906684774575,"","Nein, nichts besonderes. Es ging um politische Videos.","","nein, nichts besonderes. es ging um politische videos.",FALSE,2,"2 = content-focused"
300906684774594,"","Es gab keine  Gefällt mir nicht  Funktion zudem zu sehr tendenziös","","es gab keine gefällt mir nicht funktion zudem zu sehr tendenziös",FALSE,1,"1 = platform-focused"
300906684774602,"","Uninteressant","","uninteressant",FALSE,2,"2 = content-focused"
300906684774607,"","Ich teile selten Videos","","ich teile selten videos",FALSE,3,"3 = other/unclear"
300906684774608,"1","Vielen Dank","Nein. Vielen Dank","vielen dank",FALSE,3,"3 = other/unclear"
300906684774612,"","Und wer behandelt den Überblick zu haben und gesagt hatten wir","","und wer behandelt den überblick zu haben und gesagt hatten wir",FALSE,3,"3 = other/unclear"
300906684775425,"","Für mich keine interessanten Inhalte dabei","","für mich keine interessanten inhalte dabei",FALSE,2,"2 = content-focused"
300906684775647,"","Absolut nervig","","absolut nervig",FALSE,2,"2 = content-focused"
300906684775661,"1","H","I","h",FALSE,3,"3 = other/unclear"
300906684776464,"1","Ist hab den Videokontent nicht wirklich  verstanden.","","ist hab den videokontent nicht wirklich verstanden.",FALSE,2,"2 = content-focused"
300906684776484,"","Gerade die letzen Videos waren nicht nach meinem Geschmack.","","gerade die letzen videos waren nicht nach meinem geschmack.",FALSE,2,"2 = content-focused"
300906684776499,"","Es war alles ok","","es war alles ok",FALSE,3,"3 = other/unclear"
300906684776502,"","Alles gut","","alles gut",FALSE,2,"2 = content-focused"
300906684777544,"","zu schnelle Videos sind anstrengend zu schauen","","zu schnelle videos sind anstrengend zu schauen",FALSE,2,"2 = content-focused"
300906684777549,"","nein, es hat alles ohne Probleme funktioniert","","nein, es hat alles ohne probleme funktioniert",FALSE,1,"1 = platform-focused"
300906684777571,"","Die Beschreibungen und Warnungen waren logisch und verständlich, kommen aber aus meiner Sicht nicht bei den richtigen Leuten an.","","die beschreibungen und warnungen waren logisch und verständlich, kommen aber aus meiner sicht nicht bei den richtigen leuten an.",FALSE,3,"3 = other/unclear"
300906684777590,"","War nicht außergewöhnlich.","","war nicht außergewöhnlich.",FALSE,2,"2 = content-focused"
300906684778628,"","Keine intuitive Bedienung. Musste sehr darauf achten die richtigen Buttons zu drücken","","keine intuitive bedienung. musste sehr darauf achten die richtigen buttons zu drücken",FALSE,1,"1 = platform-focused"
300906684778646,"","Nervig für mich,  viel zu viel Blödsinn dabei","","nervig für mich, viel zu viel blödsinn dabei",FALSE,2,"2 = content-focused"
300906684778665,"","Viel mist","","viel mist",FALSE,2,"2 = content-focused"
300906684779699,"","War interessant und informativ","","war interessant und informativ",FALSE,2,"2 = content-focused"
300906684779717,"","Beste","","beste",FALSE,3,"3 = other/unclear"
300906684779718,"","War interessant","","war interessant",FALSE,3,"3 = other/unclear"
300906684779719,"","Kurze Videos wie auf TikTok oder YouTube Shorts","","kurze videos wie auf tiktok oder youtube shorts",FALSE,1,"1 = platform-focused"
300906684780790,"","Dieser Video-Plattform ist besser, ich mag ein bisschen im Tik Tok etwas schauen","","dieser video-plattform ist besser, ich mag ein bisschen im tik tok etwas schauen",FALSE,1,"1 = platform-focused"
300906684781594,"","Gefällt mir nicht so","","gefällt mir nicht so",FALSE,3,"3 = other/unclear"
300906684782672,"1","Buttons erst nach schließen der Videos verfügbar. Swipe nicht möglich","","buttons erst nach schließen der videos verfügbar. swipe nicht möglich",FALSE,1,"1 = platform-focused"
300906684782674,"1","Weiterschalten war schwierig öffnen und schließen der Videos nicht flüssig und leicht","Nein","weiterschalten war schwierig öffnen und schließen der videos nicht flüssig und leicht",FALSE,1,"1 = platform-focused"
300906684782693,"","Zu viele „Influencer“ und trash content","","zu viele „influencer“ und trash content",FALSE,2,"2 = content-focused"
300906684785794,"1","Kurzweilig","Interessanter content","kurzweilig",FALSE,2,"2 = content-focused"
300906691851412,"","war irgendwie langweilig","","war irgendwie langweilig",FALSE,2,"2 = content-focused"
300906691851417,"","was soll denn  die AfD da ?","","was soll denn die afd da ?",FALSE,2,"2 = content-focused"
300906691851425,"1","nichts für mich","der übliche Content","nichts für mich",FALSE,2,"2 = content-focused"
300906691851435,"","nicht interessant, und durch die englische Sprache kaum verständlich","","nicht interessant, und durch die englische sprache kaum verständlich",FALSE,2,"2 = content-focused"
300906691851436,"","freie demokraten video wahlen gut","","freie demokraten video wahlen gut",FALSE,3,"3 = other/unclear"
300906691851440,"","nein,bis auf die Wahlwerbungbin ich zu alt für solche videos,bin nicht Zielgruppe,  wasmich aber auch nicht stört","","nein,bis auf die wahlwerbungbin ich zu alt für solche videos,bin nicht zielgruppe, wasmich aber auch nicht stört",FALSE,2,"2 = content-focused"
300906691851441,"1","Dislike-Button wäre wünschenswert","Ich hätte gerne einen Dislike-Button.","dislike-button wäre wünschenswert",FALSE,1,"1 = platform-focused"
300906691851442,"1","nicht mein Fall, würde ich mich nicht zu anmelden","","nicht mein fall, würde ich mich nicht zu anmelden",FALSE,2,"2 = content-focused"
300906691851453,"","Völlig unnütze Dinge","","völlig unnütze dinge",FALSE,2,"2 = content-focused"
300906691851463,"","Ne sieht normal aus","","ne sieht normal aus",FALSE,3,"3 = other/unclear"
300906691852288,"","scheisse hoch 3","","scheisse hoch 3",FALSE,3,"3 = other/unclear"
300906691852508,"","nicht sicher","","nicht sicher",FALSE,3,"3 = other/unclear"
300906691852514,"1","fand ich irgendwie seltsam","","fand ich irgendwie seltsam",FALSE,3,"3 = other/unclear"
300906691852523,"","Nichts neues","","nichts neues",FALSE,2,"2 = content-focused"
300906691852524,"1","Dislike Button wurde erst gar nicht angeboten.","Nein","dislike button wurde erst gar nicht angeboten.",FALSE,1,"1 = platform-focused"
300906691852530,"1","Nervige Videos","Ich schau mir keine Videos auf solchen Plattformen an","nervige videos",FALSE,2,"2 = content-focused"
300906691852540,"","Finde eseher langweilig","","finde eseher langweilig",FALSE,2,"2 = content-focused"
300906691853321,"","nicht mein  Geschmack","","nicht mein geschmack",FALSE,2,"2 = content-focused"
300906691853324,"1","breit gestreut und viel politik","ist wie die meistenplattformen vergeutete Zeit","breit gestreut und viel politik",FALSE,2,"2 = content-focused"
300906691853326,"","Zu viel dummes Zeug. Bin ich zu alt für.","","zu viel dummes zeug. bin ich zu alt für.",FALSE,2,"2 = content-focused"
300906691853330,"1","Gefällt mir, wie heisst sie und wie kann ich sie nutzen?","nein","gefällt mir, wie heisst sie und wie kann ich sie nutzen?",FALSE,3,"3 = other/unclear"
300906691853342,"1","Normale Plattform der Mitte","Nichts","normale plattform der mitte",FALSE,3,"3 = other/unclear"
300906691853349,"","Wenig Informationen","","wenig informationen",FALSE,3,"3 = other/unclear"
300906691853354,"","Auf den ersten Blick scheint die Plattform vielseitig zu sein.","","auf den ersten blick scheint die plattform vielseitig zu sein.",FALSE,1,"1 = platform-focused"
300906691853356,"","Das ist kein Medium für mich, ich mag die ganzen Selbstdarstellungen der Menschen nicht. Der Äußere Schein der glänzt und dahinter ist nur Leere.","","das ist kein medium für mich, ich mag die ganzen selbstdarstellungen der menschen nicht. der äußere schein der glänzt und dahinter ist nur leere.",FALSE,2,"2 = content-focused"
300906691853362,"","Ist wohl etwas für die Jugend aber für uns Rentner eher nicht....","","ist wohl etwas für die jugend aber für uns rentner eher nicht....",FALSE,2,"2 = content-focused"
300906691853368,"1","Mir gefällt alles","Mir gefällt alles","mir gefällt alles",FALSE,3,"3 = other/unclear"
300906691853370,"1","manche Inhalte sind meiner Meinung nach nicht politisch verstehbar, sondern eher privater Natur","nein","manche inhalte sind meiner meinung nach nicht politisch verstehbar, sondern eher privater natur",FALSE,2,"2 = content-focused"
300906691854401,"1","Man kann nicht zurückspulen und für Menschen wie mich, die langsam lesen und Tiktok nicht kennen, also nicht wissen wo sie hingucken müssen, war es etwas schnell. Vielleicht das Alter :/","","man kann nicht zurückspulen und für menschen wie mich, die langsam lesen und tiktok nicht kennen, also nicht wissen wo sie hingucken müssen, war es etwas schnell. vielleicht das alter :/",FALSE,1,"1 = platform-focused"
300906691854424,"1","Ich mag Tik tok nicht","/","ich mag tik tok nicht",FALSE,3,"3 = other/unclear"
300906691854431,"","Langweilig","","langweilig",FALSE,2,"2 = content-focused"
300906691854440,"","Ich würde mir das nicht antun. So viel Schrott. Kein wunder, dass alle dümmer werden.","","ich würde mir das nicht antun. so viel schrott. kein wunder, dass alle dümmer werden.",FALSE,2,"2 = content-focused"
300906691854442,"","Verwirrende Infos zum Teil. Mit dem letzten Video konnte ich gar nichts anfangen. Auch nicht das Video wo Frauen raumstanden und irgendwas in Englisch geschrieben stand. Ich finde wir sollten uns endlich wieder mehr der deutschen Sprache bewusst werden.","","verwirrende infos zum teil. mit dem letzten video konnte ich gar nichts anfangen. auch nicht das video wo frauen raumstanden und irgendwas in englisch geschrieben stand. ich finde wir sollten uns endlich wieder mehr der deutschen sprache bewusst werden.",FALSE,2,"2 = content-focused"
300906691855520,"","Viel uninteressantes","","viel uninteressantes",FALSE,2,"2 = content-focused"
300906691856550,"","Ich habe keine Anmerkungen.","","ich habe keine anmerkungen.",FALSE,3,"3 = other/unclear"
300906691856557,"","Zu viel Politik","","zu viel politik",FALSE,2,"2 = content-focused"
300906691856559,"","Irgendwie das GLEICHE wie bei allen anderen....","","irgendwie das gleiche wie bei allen anderen....",FALSE,1,"1 = platform-focused"
300906691856560,"","Alles bullshit","","alles bullshit",FALSE,3,"3 = other/unclear"
300906691856565,"","Nein war gut","","nein war gut",FALSE,3,"3 = other/unclear"
300906691856567,"","Nein ich möchte nichts weiter mitteilen.","","nein ich möchte nichts weiter mitteilen.",FALSE,3,"3 = other/unclear"
300906691856584,"","Nein, es war alles leicht zu verstehen und abwechslungsreich.","","nein, es war alles leicht zu verstehen und abwechslungsreich.",FALSE,1,"1 = platform-focused"
300906691856586,"","gut","","gut",FALSE,3,"3 = other/unclear"
300906691856591,"1","Bisschen wirr U. Kein Konzept","Ist Ok","bisschen wirr u. kein konzept",FALSE,3,"3 = other/unclear"
300906691856601,"","viel Quatsch bei","","viel quatsch bei",FALSE,3,"3 = other/unclear"
300906691857414,"","weiss nicht","","weiss nicht",FALSE,3,"3 = other/unclear"
300906691857417,"1","Es war technisch alles in Ordnung, einiges war für mich nicht so relevant","Sehr interessante Berichte die dringenst durchgeführt werden muss","es war technisch alles in ordnung, einiges war für mich nicht so relevant",FALSE,3,"3 = other/unclear"
300906691857419,"1","Wirkt sehr uninteressant","Nein","wirkt sehr uninteressant",FALSE,2,"2 = content-focused"
300906691857424,"1","Ich erkenne jetzt den Mehrwert zu TikTok nicht :)","Ist halt sehr ähnlich zu TikTok/Instagram","ich erkenne jetzt den mehrwert zu tiktok nicht :)",FALSE,1,"1 = platform-focused"
300906691857634,"","Kp","","kp",FALSE,3,"3 = other/unclear"
300906691857635,"","alles perfekt","","alles perfekt",FALSE,3,"3 = other/unclear"
300906691857636,"","Ich mag diese Plattform nicht.","","ich mag diese plattform nicht.",FALSE,1,"1 = platform-focused"
300906691857645,"1","Es hat mich nicht interessiert.","Nein","es hat mich nicht interessiert.",FALSE,2,"2 = content-focused"
300906691857646,"","Man muss sehr aufpassen","","man muss sehr aufpassen",FALSE,3,"3 = other/unclear"
300906691857655,"","Genauso wie andere auch","","genauso wie andere auch",FALSE,1,"1 = platform-focused"
300906691857659,"","bunt gemischt","","bunt gemischt",FALSE,3,"3 = other/unclear"
300906691857660,"","Sehr fur","","sehr fur",FALSE,3,"3 = other/unclear"
300906691857661,"","Hat mir nicht gefallen, bis auf politische Themen uninteressant und dumm","","hat mir nicht gefallen, bis auf politische themen uninteressant und dumm",FALSE,2,"2 = content-focused"
300906691858451,"","gute","","gute",FALSE,3,"3 = other/unclear"
300906691858458,"","alles gut","","alles gut",FALSE,2,"2 = content-focused"
300906691858460,"","Nein, keine weiteren Fragen oder Anmerkungen","","nein, keine weiteren fragen oder anmerkungen",FALSE,3,"3 = other/unclear"
300906691858465,"1","Ist fast wie TIK-TOK","nichts","ist fast wie tik-tok",FALSE,1,"1 = platform-focused"
300906691858468,"","Vielen Dank","","vielen dank",FALSE,3,"3 = other/unclear"
300906691858483,"1","Warum in der Finsternis? Aber tolles Auto....es nervt, 5 min lang das selbe Video zu sehen.","Wenn ich ein Herz angeklickt hatte, ging es wieder weg, sobald ich zum nächsten Video getippt habe. Es gab keine  weiter  Taste.","warum in der finsternis? aber tolles auto....es nervt, 5 min lang das selbe video zu sehen.",FALSE,2,"2 = content-focused"
